CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
00.194.256/0001-87;16/02/2005;4024550397.25;9.759.085.801.000;4024506949.27;41116500.00;29400500.30;54
00.194.256/0001-87;17/02/2005;4026690087.45;9.765.645.554.000;4026650706.30;17816237.35;18377628.63;54
00.194.256/0001-87;18/02/2005;4034215196.26;9.772.267.232.000;4034164940.66;11342000.00;6558069.97;54
00.194.256/0001-87;21/02/2005;3921753875.50;9.779.070.959.000;3921698933.06;51907783.00;167182489.57;56
00.194.256/0001-87;22/02/2005;3938878635.73;9.785.807.187.000;3938841773.37;178638965.34;164196901.41;56
00.194.256/0001-87;23/02/2005;3949900187.11;9.792.523.926.000;3949866289.59;19344696.18;11023704.73;56
00.194.256/0001-87;24/02/2005;3942371535.39;9.799.219.119.000;3942352099.68;19052750.94;29267482.34;56
00.194.256/0001-87;25/02/2005;3948744764.97;9.805.873.324.000;3948698333.73;6845400.00;3176238.35;56
00.194.256/0001-87;28/02/2005;3929599799.08;9.812.590.505.000;3929549737.33;52593280.60;74446798.89;56
00.194.999/0001-57;01/02/2005;60384164.75;20.907.255.200.000;60377286.80;0.00;251325.90;1
00.194.999/0001-57;02/02/2005;59923979.41;20.920.110.200.000;59911698.10;0.00;502712.30;1
00.194.999/0001-57;03/02/2005;59661701.55;20.932.837.200.000;59646482.92;0.00;301663.25;1
00.194.999/0001-57;04/02/2005;59699729.43;20.945.373.200.000;59682203.12;0.00;0.00;1
00.194.999/0001-57;09/02/2005;59139571.51;20.957.961.300.000;59114505.99;0.00;603565.92;1
00.194.999/0001-57;10/02/2005;59175506.32;20.970.570.100.000;59150070.76;0.00;0.00;1
00.194.999/0001-57;11/02/2005;59215361.09;20.983.303.600.000;59185987.23;0.00;0.00;1
00.194.999/0001-57;14/02/2005;59255243.35;20.996.046.100.000;59221928.83;0.00;0.00;1
00.194.999/0001-57;15/02/2005;58894785.30;21.008.667.000.000;58854813.29;0.00;402714.45;1
00.194.999/0001-57;16/02/2005;58633081.37;21.021.907.100.000;58589832.08;0.00;302072.85;1
00.194.999/0001-57;17/02/2005;58670860.42;21.034.806.100.000;58625782.51;0.00;0.00;1
00.194.999/0001-57;18/02/2005;58711315.08;21.047.920.400.000;58662333.32;0.00;0.00;1
00.194.999/0001-57;21/02/2005;58252171.60;21.061.178.100.000;58196125.12;0.00;503158.48;1
00.194.999/0001-57;22/02/2005;58289195.95;21.074.317.700.000;58232432.35;0.00;0.00;1
00.194.999/0001-57;23/02/2005;62079327.37;21.087.437.800.000;62018685.80;3750000.00;0.00;1
00.194.999/0001-57;24/02/2005;62122093.21;21.100.575.700.000;62057324.76;0.00;0.00;1
00.194.999/0001-57;25/02/2005;62065017.20;21.113.766.600.000;61995533.40;0.00;100585.93;1
00.194.999/0001-57;28/02/2005;61607166.65;21.126.916.000.000;61531152.59;0.00;502990.82;1
00.195.001/0001-39;01/02/2005;291288050.41;9.733.979.200.000;291284113.16;0.00;0.00;1
00.195.001/0001-39;02/02/2005;291528103.39;9.738.499.000.000;291419365.55;0.00;0.00;1
00.195.001/0001-39;03/02/2005;292012738.34;9.748.479.500.000;291718025.70;0.00;0.00;1
00.195.001/0001-39;04/02/2005;292267219.65;9.764.652.100.000;292201984.29;0.00;0.00;1
00.195.001/0001-39;09/02/2005;292390290.20;9.773.167.100.000;292384789.87;0.00;72000.00;1
00.195.001/0001-39;10/02/2005;293682191.69;9.779.695.700.000;293580106.65;1000000.00;0.00;1
00.195.001/0001-39;11/02/2005;295513069.58;9.789.430.600.000;295372342.52;1500000.00;0.00;1
