Data;12 - Taxa de juros - CDI - % a.d.
05/03/2020;0,016137
06/03/2020;0,016137
09/03/2020;0,016137
10/03/2020;0,016137
11/03/2020;0,016137
12/03/2020;0,016137
13/03/2020;0,016137
16/03/2020;0,016137
17/03/2020;0,016137
18/03/2020;0,016137
19/03/2020;0,014227
20/03/2020;0,014227
23/03/2020;0,014227
24/03/2020;0,014227
25/03/2020;0,014227
26/03/2020;0,014227
27/03/2020;0,014227
30/03/2020;0,014227
31/03/2020;0,014227
01/04/2020;0,014227
02/04/2020;0,014227
03/04/2020;0,014227
06/04/2020;0,014227
07/04/2020;0,014227
08/04/2020;0,014227
09/04/2020;0,014227
13/04/2020;0,014227
14/04/2020;0,014227
15/04/2020;0,014227
16/04/2020;0,014227
17/04/2020;0,014227
20/04/2020;0,014227
22/04/2020;0,014227
23/04/2020;0,014227
24/04/2020;0,014227
27/04/2020;0,014227
28/04/2020;0,014227
29/04/2020;0,014227
30/04/2020;0,014227
04/05/2020;0,014227
05/05/2020;0,014227
06/05/2020;0,014227
07/05/2020;0,011345
08/05/2020;0,011345
11/05/2020;0,011345
12/05/2020;0,011345
13/05/2020;0,011345
14/05/2020;0,011345
15/05/2020;0,011345
18/05/2020;0,011345
19/05/2020;0,011345
20/05/2020;0,011345
21/05/2020;0,011345
22/05/2020;0,011345
25/05/2020;0,011345
26/05/2020;0,011345
27/05/2020;0,011345
28/05/2020;0,011345
29/05/2020;0,011345
01/06/2020;0,011345
02/06/2020;0,011345
03/06/2020;0,011345
04/06/2020;0,011345
05/06/2020;0,011345
08/06/2020;0,011345
09/06/2020;0,011345
10/06/2020;0,011345
12/06/2020;0,011345
15/06/2020;0,011345
16/06/2020;0,011345
17/06/2020;0,011345
18/06/2020;0,008442
19/06/2020;0,008442
22/06/2020;0,008442
23/06/2020;0,008442
24/06/2020;0,008442
25/06/2020;0,008442
26/06/2020;0,008442
29/06/2020;0,008442
30/06/2020;0,008442
01/07/2020;0,008442
02/07/2020;0,008442
03/07/2020;0,008442
06/07/2020;0,008442
07/07/2020;0,008442
08/07/2020;0,008442
09/07/2020;0,008442
10/07/2020;0,008442
13/07/2020;0,008442
14/07/2020;0,008442
15/07/2020;0,008442
16/07/2020;0,008442
17/07/2020;0,008442
20/07/2020;0,008442
21/07/2020;0,008442
22/07/2020;0,008442
23/07/2020;0,008442
24/07/2020;0,008442
27/07/2020;0,008442
28/07/2020;0,008442
29/07/2020;0,008442
30/07/2020;0,008442
31/07/2020;0,008442
03/08/2020;0,008442
04/08/2020;0,008442
05/08/2020;0,008442
06/08/2020;0,007469
07/08/2020;0,007469
10/08/2020;0,007469
11/08/2020;0,007469
12/08/2020;0,007469
13/08/2020;0,007469
14/08/2020;0,007469
17/08/2020;0,007469
18/08/2020;0,007469
19/08/2020;0,007469
20/08/2020;0,007469
21/08/2020;0,007469
24/08/2020;0,007469
25/08/2020;0,007469
26/08/2020;0,007469
27/08/2020;0,007469
28/08/2020;0,007469
31/08/2020;0,007469
01/09/2020;0,007469
02/09/2020;0,007469
03/09/2020;0,007469
04/09/2020;0,007469
08/09/2020;0,007469
09/09/2020;0,007469
10/09/2020;0,007469
11/09/2020;0,007469
14/09/2020;0,007469
15/09/2020;0,007469
16/09/2020;0,007469
17/09/2020;0,007469
18/09/2020;0,007469
21/09/2020;0,007469
22/09/2020;0,007469
23/09/2020;0,007469
24/09/2020;0,007469
25/09/2020;0,007469
28/09/2020;0,007469
29/09/2020;0,007469
30/09/2020;0,007469
01/10/2020;0,007469
02/10/2020;0,007469
05/10/2020;0,007469
06/10/2020;0,007469
07/10/2020;0,007469
08/10/2020;0,007469
09/10/2020;0,007469
13/10/2020;0,007469
14/10/2020;0,007469
15/10/2020;0,007469
16/10/2020;0,007469
19/10/2020;0,007469
20/10/2020;0,007469
21/10/2020;0,007469
22/10/2020;0,007469
23/10/2020;0,007469
26/10/2020;0,007469
27/10/2020;0,007469
28/10/2020;0,007469
29/10/2020;0,007469
30/10/2020;0,007469
03/11/2020;0,007469
04/11/2020;0,007469
05/11/2020;0,007469
06/11/2020;0,007469
09/11/2020;0,007469
10/11/2020;0,007469
11/11/2020;0,007469
12/11/2020;0,007469
13/11/2020;0,007469
16/11/2020;0,007469
17/11/2020;0,007469
18/11/2020;0,007469
19/11/2020;0,007469
20/11/2020;0,007469
23/11/2020;0,007469
24/11/2020;0,007469
25/11/2020;0,007469
26/11/2020;0,007469
27/11/2020;0,007469
30/11/2020;0,007469
01/12/2020;0,007469
02/12/2020;0,007469
03/12/2020;0,007469
04/12/2020;0,007469
07/12/2020;0,007469
08/12/2020;0,007469
09/12/2020;0,007469
10/12/2020;0,007469
11/12/2020;0,007469
14/12/2020;0,007469
15/12/2020;0,007469
16/12/2020;0,007469
17/12/2020;0,007469
18/12/2020;0,007469
21/12/2020;0,007469
22/12/2020;0,007469
23/12/2020;0,007469
24/12/2020;0,007469
28/12/2020;0,007469
29/12/2020;0,007469
30/12/2020;0,007469
31/12/2020;0,007469
04/01/2021;0,007469
05/01/2021;0,007469
06/01/2021;0,007469
07/01/2021;0,007469
08/01/2021;0,007469
11/01/2021;0,007469
12/01/2021;0,007469
13/01/2021;0,007469
14/01/2021;0,007469
15/01/2021;0,007469
18/01/2021;0,007469
19/01/2021;0,007469
20/01/2021;0,007469
21/01/2021;0,007469
22/01/2021;0,007469
25/01/2021;0,007469
26/01/2021;0,007469
27/01/2021;0,007469
28/01/2021;0,007469
29/01/2021;0,007469
01/02/2021;0,007469
02/02/2021;0,007469
03/02/2021;0,007469
04/02/2021;0,007469
05/02/2021;0,007469
08/02/2021;0,007469
09/02/2021;0,007469
10/02/2021;0,007469
11/02/2021;0,007469
12/02/2021;0,007469
17/02/2021;0,007469
18/02/2021;0,007469
19/02/2021;0,007469
22/02/2021;0,007469
23/02/2021;0,007469
24/02/2021;0,007469
25/02/2021;0,007469
26/02/2021;0,007469
01/03/2021;0,007469
02/03/2021;0,007469
03/03/2021;0,007469
04/03/2021;0,007469
Fonte;Cetip
